scheduler,tasks_generated,tasks_completed,total_energy_kwh,mean_completion_latency_min,mean_queue_wait_min,sla_breach_count,sla_breach_rate,migrated_count,mean_active_nodes,intensity_multiplier,num_tasks
Round-Robin (Baseline),1596,1589,36.197824646850165,15.831040267804408,0.25698502679419155,38,0.02391441157960982,0,20.0,0.5,1596
Green Heuristic (Rule-Based Constraint Engine),1596,1589,36.1903291058178,15.753282821446984,0.17666560094312916,15,0.009439899307740718,1,20.0,0.5,1596
Consolidating Green Heuristic,1596,1589,26.29343347927776,16.603972111127586,1.0251668889798844,82,0.051604782882315924,4,11.75,0.5,1596
Round-Robin (Baseline),2395,2385,43.665330001824444,18.942002296185716,2.9209636958918233,431,0.18071278825995807,0,20.0,0.75,2395
Green Heuristic (Rule-Based Constraint Engine),2395,2385,43.470890219653754,22.231733944447278,6.19477850160881,238,0.09979035639412998,8,20.0,0.75,2395
Consolidating Green Heuristic,2395,2385,36.97128729558953,21.10104709221039,5.073526206842395,283,0.11865828092243187,6,14.4375,0.75,2395
Round-Robin (Baseline),3198,3184,50.07480456131712,23.911072744493232,8.061602376799044,1022,0.32097989949748745,0,20.0,1.0,3198
Green Heuristic (Rule-Based Constraint Engine),3198,3184,49.94640939152936,28.44511078858441,12.478002045279187,489,0.15358040201005024,13,20.0,1.0,3198
Consolidating Green Heuristic,3198,3184,44.74336567702957,35.659537168096456,19.766127648592718,481,0.1510678391959799,13,15.5,1.0,3198
Round-Robin (Baseline),4055,4048,57.30722588990019,31.99691404317264,16.149405036040072,1849,0.4567687747035573,0,20.0,1.25,4055
Green Heuristic (Rule-Based Constraint Engine),4055,4048,56.543234074451746,44.80088205060883,28.934172412568525,858,0.21195652173913043,10,20.0,1.25,4055
Consolidating Green Heuristic,4055,4048,53.92233402528409,44.665306786399405,28.784479011747045,800,0.1976284584980237,14,17.791666666666668,1.25,4055
Round-Robin (Baseline),4835,4816,64.33070125801937,54.013045997773204,37.99244999170974,2963,0.6152408637873754,0,20.0,1.5,4835
Green Heuristic (Rule-Based Constraint Engine),4835,4811,63.81162083620671,62.480532217842246,46.42053707393544,1748,0.3633340261899813,15,20.0,1.5,4835
Consolidating Green Heuristic,4766,4740,61.422555369950786,57.30984283384479,41.20239158294549,1919,0.40485232067510546,11,18.364583333333332,1.5,4835
