scheduler,tasks_generated,tasks_completed,total_energy_kwh,mean_completion_latency_min,mean_queue_wait_min,sla_breach_count,sla_breach_rate,migrated_count,mean_active_nodes,num_nodes
Round-Robin (Baseline),3198,3184,43.40902387998925,50.198660781992054,34.34919041429788,1851,0.5813442211055276,0,14.0,14
Green Heuristic (Rule-Based Constraint Engine),3198,3184,43.16944060400581,57.840071903790204,41.985143914652205,1125,0.3533291457286432,7,14.0,14
Consolidating Green Heuristic,3198,3184,41.167321560793766,56.22235034901389,40.33132685664759,1144,0.3592964824120603,10,12.208333333333334,14
Round-Robin (Baseline),3198,3184,46.81758184344872,30.472759572704998,14.623289205010808,1374,0.4315326633165829,0,17.0,17
Green Heuristic (Rule-Based Constraint Engine),3198,3184,46.602256742109034,35.555456102028735,19.6647931506202,706,0.22173366834170855,11,17.0,17
Consolidating Green Heuristic,3198,3184,42.79715330247354,41.54292614160896,25.679588311648867,621,0.19503768844221106,10,13.84375,17
Round-Robin (Baseline),3198,3184,50.07480456131712,23.911072744493232,8.061602376799044,1022,0.32097989949748745,0,20.0,20
Green Heuristic (Rule-Based Constraint Engine),3198,3184,49.94640939152936,28.44511078858441,12.478002045279187,489,0.15358040201005024,13,20.0,20
Consolidating Green Heuristic,3198,3184,44.74336567702957,35.659537168096456,19.766127648592718,481,0.1510678391959799,13,15.5,20
Round-Robin (Baseline),3198,3184,56.186563289987376,19.320146762538062,3.4706763948438795,659,0.2069723618090452,0,25.0,25
Green Heuristic (Rule-Based Constraint Engine),3198,3184,55.90419693252049,25.85359758856238,9.998900578287909,336,0.10552763819095477,8,25.0,25
Consolidating Green Heuristic,3198,3184,47.336849960383645,23.880036087243766,8.025141680306211,382,0.1199748743718593,8,17.729166666666668,25
Round-Robin (Baseline),3198,3184,61.984461700356704,17.54664212906903,1.6971717613748454,420,0.13190954773869346,0,30.0,30
Green Heuristic (Rule-Based Constraint Engine),3198,3184,61.89509628883225,20.053499599009864,4.186890285304454,260,0.08165829145728644,18,30.0,30
Consolidating Green Heuristic,3198,3184,49.75676987353597,23.54136388479416,7.6911036764031175,329,0.10332914572864321,2,19.770833333333332,30
